id,Category,Subcategory,Subsubcategory,Subsubsubcategory,Quintile,Elasticity
151,Fresh and processed potatoes,Processed potatoes,Crisps and potato snacks,0,1,0.378764789
152,Fresh and processed potatoes,Processed potatoes,Instant potato,0,1,0.266479227
153,Fresh and processed potatoes,Processed potatoes,"Other potato products, frozen or not frozen",0,1,1.273251551
154,"Fresh and processed vegetables, excluding potatoes",0,0,0,1,0.590059549
155,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,0,0,1,1.390007686
156,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh beans,0,1,0.761119111
157,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh brussels sprouts,0,1,1.314080458
158,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cabbages,0,1,0.68531339
159,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cauliflower,0,1,1.670614155
160,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh peas,0,1,1.140994918
161,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,0,1,0.78581088
162,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,Lettuce and leafy salads,1,-0.210676672
163,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,Prepared lettuce salads,1,0.477097147
164,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Other fresh green vegetables,0,1,-0.127735297
165,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,0,0,1,0.772726705
166,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh carrots,0,1,0.495086545
167,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh cucumbers,0,1,1.029084471
168,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh mushrooms,0,1,0.364871573
169,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,"Fresh onions, leeks and shallots",0,1,0.757809851
170,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh tomatoes,0,1,1.000709287
171,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh turnips and swede,0,1,0.810203439
172,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,0,1,2.869444039
173,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,Fresh herbs,1,0.868769188
174,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",1,1.726657293
175,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,Fresh stem vegetables,1,0.520923539
176,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,"Fresh vegetable stewpack, stirfry pack etc.",1,2.906203479
177,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Other fresh root vegetables,0,1,1.17474104
178,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,0,0,1,0.183865012
179,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,0,1,0.065785967
180,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,Baked beans in sauce,1,0.112770268
181,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,Other canned beans and pulses,1,0.908949084
182,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Beans, frozen",0,1,-0.529283648
183,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Dried pulses other than air-dried,0,1,0.844897417
184,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other canned vegetables,0,1,0.791391022
185,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other frozen vegetables,0,1,0.615933134
186,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, canned",0,1,0.898373024
187,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, frozen",0,1,0.728506942
188,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),0,1,0.392602223
189,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),All vegetable takeaway products,1,1.410831708
190,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),"Ready meals and other vegetable products, frozen or not frozen",1,0.746372435
191,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Tomatoes, canned or bottled",0,1,0.304772318
192,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,0,1,1.246850379
193,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,Tomato puree and vegetable purees,1,0.582004794
194,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,"Vegetable juices eg tomato juice, carrot juice",1,0.534386911
195,"Fresh and processed vegetables, including potatoes",0,0,0,1,0.955087268
196,Milk and milk products excluding cheese,0,0,0,1,-0.165111624
197,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",0,0,1,-1.158001352
198,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",0,1,-1.386853328
199,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",Pasteurised/ homogenised,1,-1.258904533
200,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",Sterilised,1,0.388277193
201,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",UHT milk,1,3.753255129
202,Milk and milk products excluding cheese,Other milk and cream,0,0,1,0.312264232
203,Milk and milk products excluding cheese,Other milk and cream,Condensed or evaporated milk,0,1,1.055292723
204,Milk and milk products excluding cheese,Other milk and cream,Cream,0,1,1.10933769
205,Milk and milk products excluding cheese,Other milk and cream,Infant milks,0,1,0.560392603
206,Milk and milk products excluding cheese,Other milk and cream,Infant milks,Infant or baby milks - dried,1,0.558951185
207,Milk and milk products excluding cheese,Other milk and cream,Infant milks,Infant or baby milks - ready to drink,1,1.273793663
208,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,0,1,1.133709789
209,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Dairy desserts - not frozen,1,0.863640897
210,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Dried milk products,1,-0.112222389
211,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Milk drinks and other milks (d),1,1.647392892
212,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,Non-dairy milk substitutes (d),1,0.646438512
213,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,0,1,0.135540189
214,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,Fully skimmed milk,1,-0.512884963
215,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,Semi-skimmed milk,1,0.292852513
216,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,0,1,1.980819039
217,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,Fromage frais,1,0.598687398
218,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,Yoghurt,1,1.239677101
219,Non-carcase meat and meat products,0,0,0,1,0.524216475
220,Non-carcase meat and meat products,All offal other than liver,0,0,1,1.287829489
221,Non-carcase meat and meat products,"Bacon and ham, cooked",0,0,1,0.624172961
222,Non-carcase meat and meat products,"Bacon and ham, uncooked",0,0,1,-0.326589282
223,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham joints, uncooked",0,1,0.865850949
224,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham rashers, uncooked",0,1,-0.546018659
225,Non-carcase meat and meat products,"Burgers, frozen or not frozen",0,0,1,0.570949205
226,Non-carcase meat and meat products,"Chicken, uncooked - whole chicken or chicken pieces",0,0,1,0.49431087
227,Non-carcase meat and meat products,Cooked poultry not purchased in cans,0,0,1,0.975256157
228,Non-carcase meat and meat products,Cooked poultry not purchased in cans,"Chicken and turkey, cooked",0,1,1.193843814
229,Non-carcase meat and meat products,Cooked poultry not purchased in cans,Takeaway chicken,0,1,0.4856663
230,Non-carcase meat and meat products,"Corned beef, canned or sliced",0,0,1,0.641689049
231,Non-carcase meat and meat products,Liver,0,0,1,0.197063134
232,Non-carcase meat and meat products,Liver,Lambs liver,0,1,-0.435324559
233,Non-carcase meat and meat products,Meat pastes and spreads,0,0,1,-0.144421756
234,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat",0,0,1,-4.427954624
235,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Meat pies, ready to eat",0,1,-0.58800342
236,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Sausage rolls, ready to eat",0,1,0.802868008
237,Non-carcase meat and meat products,"Meat pies, pasties and puddings, frozen or not frozen",0,0,1,0.654842669
238,Non-carcase meat and meat products,Other canned meat and canned meat products,0,0,1,1.359865084
239,Non-carcase meat and meat products,Other cooked meat,0,0,1,1.063155725
240,Non-carcase meat and meat products,"Other fresh, chilled and frozen meat",0,0,1,0.744105825
241,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)",0,0,1,1.732078949
242,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Poultry other than chicken or turkey, uncooked",0,1,0.853432292
243,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Turkey, uncooked - whole turkey or turkey pieces",0,1,1.734432177
244,Non-carcase meat and meat products,Pate and delicatessen type sausage,0,0,1,0.513852376
245,Non-carcase meat and meat products,Pate and delicatessen type sausage,Delicatessen type sausages,0,1,0.630155833
246,Non-carcase meat and meat products,Pate and delicatessen type sausage,Pate,0,1,0.31310827
247,Non-carcase meat and meat products,Ready meals and convenience meat products,0,0,1,1.907895588
248,Non-carcase meat and meat products,Ready meals and convenience meat products,"Complete meat-based ready meals, frozen or not frozen",0,1,1.226871743
249,Non-carcase meat and meat products,Ready meals and convenience meat products,"Other convenience meat products, frozen or not frozen",0,1,2.504892606
250,Non-carcase meat and meat products,"Sausages, uncooked - beef and other sausages",0,0,1,1.717983808
251,Non-carcase meat and meat products,"Sausages, uncooked - pork",0,0,1,0.573984365
252,Non-carcase meat and meat products,Takeaway meats,0,0,1,1.352729821
253,Non-carcase meat and meat products,Takeaway meats,Takeaway burger and bun,0,1,0.977117986
254,Non-carcase meat and meat products,Takeaway meats,Takeaway kebabs,0,1,4.145688717
255,Non-carcase meat and meat products,Takeaway meats,Takeaway meat based meals,0,1,1.559193771
256,Non-carcase meat and meat products,Takeaway meats,Takeaway meat pies and pasties,0,1,0.394694236
257,Non-carcase meat and meat products,Takeaway meats,Takeaway sausages and saveloys,0,1,0.303760809
258,Other cereals and cereal products,0,0,0,1,0.711503929
259,Other cereals and cereal products,Breakfast cereals,0,0,1,0.201495937
260,Other cereals and cereal products,Breakfast cereals,High fibre breakfast cereals,0,1,0.693842583
261,Other cereals and cereal products,Breakfast cereals,Muesli,0,1,0.432024608
262,Other cereals and cereal products,Breakfast cereals,Other breakfast cereals,0,1,0.509198881
263,Other cereals and cereal products,Breakfast cereals,Sweetened breakfast cereals,0,1,0.92451247
264,Other cereals and cereal products,Cakes and pastries - frozen,0,0,1,-0.007619488
265,Other cereals and cereal products,Canned milk puddings,0,0,1,0.106575125
266,Other cereals and cereal products,Canned milk puddings,All canned milk puddings,0,1,0.274892372
267,Other cereals and cereal products,Canned milk puddings,Canned or fresh carton custard,0,1,0.382921722
268,Other cereals and cereal products,Infant cereal foods,0,0,1,1.453647291
269,Other cereals and cereal products,"Invalid foods, slimming foods and sports foods",0,0,1,0.177153019
270,Other cereals and cereal products,Oatmeal and oat products,0,0,1,-0.241907944
271,Other cereals and cereal products,Other cereal convenience foods,0,0,1,1.275122979
272,Other cereals and cereal products,Other cereal convenience foods,"Cake, pudding and dessert mixes",0,1,0.588341277
273,Other cereals and cereal products,Other cereal convenience foods,Cereal snacks,0,1,-0.790596805
274,Other cereals and cereal products,Other cereal convenience foods,"Other cereal foods, frozen and not frozen",0,1,1.663613086
275,Other cereals and cereal products,Other cereal convenience foods,"Quiches and flans, frozen and not frozen",0,1,-0.056054504
276,Other cereals and cereal products,Other cereal convenience foods,"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",0,1,0.250616446
277,Other cereals and cereal products,Other cereals,0,0,1,1.204867486
278,Other cereals and cereal products,Pasta,0,0,1,-0.053503923
279,Other cereals and cereal products,Pasta,Canned pasta,0,1,0.469080004
280,Other cereals and cereal products,Pasta,Dried and fresh pasta,0,1,0.21398913
281,Other cereals and cereal products,Pasta,Takeaway pasta and noodles,0,1,0.359940182
282,Other cereals and cereal products,Pizza,0,0,1,1.075060603
283,Other cereals and cereal products,Pizza,"Pizzas, frozen and not frozen",0,1,1.525525388
284,Other cereals and cereal products,Pizza,Takeaway pizza,0,1,1.119718541
285,Other cereals and cereal products,Puddings,0,0,1,0.831537068
286,Other cereals and cereal products,Rice,0,0,1,0.867734212
287,Other cereals and cereal products,Rice,Cooked rice,0,1,0.05928597
288,Other cereals and cereal products,Rice,Dried rice,0,1,0.177132269
289,Other cereals and cereal products,Rice,Takeaway rice,0,1,-0.02213713
290,Other food and drink,0,0,0,1,1.116756434
291,Other food and drink,Baby foods,0,0,1,1.758120119
292,Other food and drink,Ice cream products including takeaways,0,0,1,0.522258203
293,Other food and drink,Ice cream products including takeaways,"Ice cream cornets, choc-ices, lollies with ice cream",0,1,0.715695072
294,Other food and drink,Ice cream products including takeaways,"Ice lollies, sorbet, frozen mousse, frozen yoghurt",0,1,0.710725992
295,Other food and drink,Ice cream products including takeaways,"Takeaway ice cream, ice cream products, milkshakes",0,1,1.255099512
296,Other food and drink,Ice cream tub or block,0,0,1,0.168229064
297,Other food and drink,Jelly squares or crystals,0,0,1,0.702964477
298,Other food and drink,Mineral or spring waters,0,0,1,1.770973497
299,Other food and drink,Pickles and sauces,0,0,1,1.124729996
300,Other food and drink,Pickles and sauces,Pickles,0,1,-0.732534946
301,Other food and drink,Pickles and sauces,Sauces,0,1,1.468272928
302,Other food and drink,Pickles and sauces,Takeaway sauces and mayonnnaise,0,1,1.98947572
303,Other food and drink,Salt,0,0,1,0.311357388
304,Other food and drink,Soups - canned or cartons,0,0,1,-0.17850711
305,Other food and drink,Soups - dehydrated or powdered,0,0,1,0.479222128
306,Other food and drink,Soups - from takeaway,0,0,1,-0.075318989
307,Other food and drink,Soya and novel protein foods,0,0,1,0.705650901
308,Other food and drink,Spreads and dressings,0,0,1,1.49189401
309,Other food and drink,Spreads and dressings,Other spreads and dresssings,0,1,0.91882601
310,Other food and drink,Spreads and dressings,Salad dressings,0,1,1.737490642
311,Other food and drink,Stock cubes and meat and yeast extracts,0,0,1,1.108916133
312,Soft drinks,0,0,0,1,0.278829293
313,Soft drinks,"Soft drinks, concentrated, low calorie",0,0,1,-0.768361938
314,Soft drinks,"Soft drinks, concentrated, not low calorie",0,0,1,1.206092075
315,Soft drinks,"Soft drinks, not concentrated,  not low calorie",0,0,1,0.973835913
316,Soft drinks,"Soft drinks, not concentrated, low calorie",0,0,1,1.184212203
317,Sugar and preserves,0,0,0,1,0.931987378
318,Sugar and preserves,Honey,0,0,1,-0.220946823
319,Sugar and preserves,Jams and fruit curds,0,0,1,-0.165344513
320,Sugar and preserves,Marmalade,0,0,1,-1.373644908
321,Sugar and preserves,Sugar,0,0,1,1.237967339
322,Sugar and preserves,"Syrup, treacle",0,0,1,-0.038914613
323,Alcoholic drinks,0,0,0,2,0.802223961
324,Alcoholic drinks,Alcopops,0,0,2,-0.469758378
325,Alcoholic drinks,Beers,0,0,2,0.452398317
326,Alcoholic drinks,Ciders and perry,0,0,2,1.460429211
327,Alcoholic drinks,Fortified wines,0,0,2,2.11554824
328,Alcoholic drinks,Lagers and continental beers,0,0,2,0.639106784
329,Alcoholic drinks,Liqueurs and cocktails,0,0,2,1.312693256
330,Alcoholic drinks,Spirits,0,0,2,1.244367394
331,Alcoholic drinks,Spirits with mixer,0,0,2,-1.040392091
332,Alcoholic drinks,Wine and champagne,0,0,2,1.184361861
333,Alcoholic drinks,Wine and champagne,"Champagne, sparkling wines and wine with mixer",0,2,0.73967053
334,Alcoholic drinks,Wine and champagne,Table wine,0,2,1.170682056
335,Beverages,0,0,0,2,0.878253531
336,Beverages,Cocoa and chocolate drinks,0,0,2,0.22364513
337,Beverages,Coffee beans and ground coffee,0,0,2,-1.759468373
338,Beverages,Instant coffee,0,0,2,0.577325274
339,Beverages,Malt drinks and chocolate versions of malted drinks,0,0,2,-0.104649353
340,Beverages,Tea,0,0,2,-0.089132105
341,Biscuits and crispbreads,0,0,0,2,0.340541122
